yyyymm,COL.CO2,OIL.CO2,GAS.CO2,CEM.CO2,year,month
200809,75.512214,33.663349,7.448466,5.775804,2008,Sep
200810,79.067199,33.565354,8.000558,6.127632,2008,Oct
200811,76.646828,34.43253,7.004398,5.961468,2008,Nov
200812,78.712987,36.200625,7.276731,6.558658,2008,Dec
200901,80.970231,36.462221,7.969971,6.685856,2009,Jan
200902,77.252596,35.332112,6.559591,6.636108,2009,Feb
200903,88.453735,37.922895,8.454697,7.483467,2009,Mar
200904,81.95489,36.498668,7.9781,6.987048,2009,Apr
200905,84.68226,36.492849,9.351085,6.92494,2009,May
200906,80.661444,37.042816,9.56122,6.87868,2009,Jun
200907,77.629629,35.578844,9.958092,6.727397,2009,Jul
200908,77.150065,34.487765,10.661192,6.466973,2009,Aug
200909,75.7437,34.724601,10.416252,6.177961,2009,Sep
200910,83.399913,36.60023,10.4466,6.477057,2009,Oct
200911,84.76393,35.88354,10.385922,6.522023,2009,Nov
200912,91.284506,36.744373,10.720385,7.300446,2009,Dec
201001,89.876074,35.765477,11.180415,7.534523,2010,Jan
201002,84.252179,35.052678,10.456495,7.175866,2010,Feb
201003,91.895312,37.436334,11.677612,8.087054,2010,Mar
201004,87.270017,37.94616,11.147072,7.611582,2010,Apr
201005,91.119693,38.552188,11.275185,7.531592,2010,May
201006,84.102603,37.737008,10.778457,7.145723,2010,Jun
201007,83.66528,36.849063,11.325366,6.724121,2010,Jul
201008,80.069787,34.829591,11.04766,6.577431,2010,Aug
201009,73.60776,33.534393,11.447273,6.512187,2010,Sep
201010,83.85524,36.885381,11.248186,7.696031,2010,Oct
201011,80.135986,36.321049,10.913445,6.262622,2010,Nov
201012,86.133121,39.782673,11.623985,7.170508,2010,Dec
201101,87.589724,37.591033,11.265758,7.704048,2011,Jan
201102,83.189984,35.824337,10.680414,7.683694,2011,Feb
201103,88.003117,39.571732,11.951964,8.674302,2011,Mar
201104,93.508494,39.570513,11.162081,7.590764,2011,Apr
201105,91.771282,40.421846,10.789061,7.436583,2011,May
201106,92.134816,38.434932,11.403569,7.274077,2011,Jun
201107,97.253539,37.851485,12.1793,7.600681,2011,Jul
201108,82.887553,36.063737,11.943885,7.185235,2011,Aug
201109,78.665705,35.989956,11.510681,6.711738,2011,Sep
201110,86.721393,38.310604,10.963741,7.796555,2011,Oct
201111,94.627343,40.849681,11.274022,7.396793,2011,Nov
201112,98.032061,40.890125,11.135759,8.260027,2011,Dec
201201,98.156715,38.396451,11.546332,8.665606,2012,Jan
201202,98.463306,38.793939,10.43516,8.562342,2012,Feb
201203,102.278919,42.125275,11.378116,9.431443,2012,Mar
201204,99.516164,40.360127,9.907246,8.430041,2012,Apr
201205,107.887514,43.427736,10.557433,8.467913,2012,May
201206,102.026565,41.949254,10.328434,8.170331,2012,Jun
201207,97.074007,41.896103,10.6335,8.055173,2012,Jul
201208,94.956076,40.11757,10.688932,7.367111,2012,Aug
201209,89.492322,38.161194,10.017464,7.804589,2012,Sep
201210,104.482117,41.330874,10.274177,8.506771,2012,Oct
201211,102.335445,41.745997,10.142031,7.554701,2012,Nov
201212,109.782591,42.842987,9.695972,9.221134,2012,Dec
201301,115.936706,42.452453,9.922501,9.742887,2013,Jan
201302,98.098298,39.25859,9.151868,9.015041,2013,Feb
201303,112.074847,43.503108,9.271392,10.435527,2013,Mar
201304,105.719143,41.261248,9.674531,9.429504,2013,Apr
201305,108.935913,44.283943,9.51733,9.223317,2013,May
201306,105.461558,41.270981,9.065237,8.571699,2013,Jun
201307,104.437412,41.289021,8.504685,8.260675,2013,Jul
201308,98.814398,40.276122,9.461652,7.923229,2013,Aug
201309,100.116502,38.53162,8.532712,8.941295,2013,Sep
201310,106.324123,41.900168,9.337432,8.767019,2013,Oct
201311,104.842749,41.868964,9.018076,8.003224,2013,Nov
201312,115.621612,42.418238,9.231811,9.506425,2013,Dec
201401,118.79109,42.190845,9.093765,10.105333,2014,Jan
201402,101.524993,39.983819,8.475485,9.370708,2014,Feb
201403,124.278936,44.330075,9.180717,10.616031,2014,Mar
201404,122.384952,41.634304,9.102745,10.363039,2014,Apr
201405,122.976566,45.503904,9.209789,10.224504,2014,May
201406,120.192991,44.067019,9.082606,9.931538,2014,Jun
201407,115.971842,42.478402,8.779168,9.691585,2014,Jul
201408,108.248255,41.229348,9.334438,8.760744,2014,Aug
201409,108.875955,40.883562,8.717146,9.310228,2014,Sep
201410,112.25994,41.384537,9.677442,8.694739,2014,Oct
201411,127.450694,43.969626,8.747843,8.866228,2014,Nov
201412,124.100809,46.184265,10.066355,9.89022,2014,Dec
201501,133.886613,44.197466,8.961527,10.141218,2015,Jan
201502,115.746828,44.323787,7.210012,9.596098,2015,Feb
201503,131.530096,45.371581,8.273684,10.238853,2015,Mar
201504,117.25854,45.591824,8.450292,10.105592,2015,Apr
201505,126.618758,48.490099,8.774974,10.37709,2015,May
201506,120.476964,46.421788,9.21509,10.088798,2015,Jun
201507,111.717097,45.805722,9.246362,9.826405,2015,Jul
201508,112.80358,45.461297,9.033736,9.232069,2015,Aug
201509,113.611951,47.153129,9.263356,9.154351,2015,Sep
201510,125.555093,48.419729,9.591508,9.7493,2015,Oct
201511,117.444591,46.756599,9.270478,8.709544,2015,Nov
201512,122.936447,49.530094,9.579613,10.288596,2015,Dec
201601,128.964338,50.921397,8.921746,11.061784,2016,Jan
201602,132.170811,50.703421,8.877387,10.875169,2016,Feb
201603,129.509401,53.804842,9.173806,11.536409,2016,Mar
201604,127.640624,51.127351,9.382093,10.522006,2016,Apr
201605,133.364104,52.639851,9.726018,10.632126,2016,May
201606,127.868482,51.852248,9.232657,11.122711,2016,Jun
201607,114.913674,50.00114,9.456099,9.869013,2016,Jul
201608,110.886096,53.768974,9.763601,9.492109,2016,Aug
201609,116.832265,47.019784,9.93855,9.745623,2016,Sep
201610,124.529542,52.430106,10.186353,10.329762,2016,Oct
201611,122.429681,51.245971,9.522262,8.732532,2016,Nov
201612,130.292046,50.597313,9.441895,9.362066,2016,Dec
201701,129.149701,48.096047,8.88021,9.567088,2017,Jan
201702,117.763824,48.415192,9.432208,9.124252,2017,Feb
201703,135.048015,54.035364,10.024242,10.717818,2017,Mar
201704,133.955911,53.281308,9.726534,9.939124,2017,Apr
201705,134.461686,56.784768,9.731801,10.452315,2017,May
201706,122.646451,51.986581,9.4364,10.72275,2017,Jun
201707,117.083544,51.059573,9.908487,9.939431,2017,Jul
201708,128.970686,53.061601,10.045774,9.528178,2017,Aug
201709,125.481779,51.941556,10.234505,9.726891,2017,Sep
201710,134.592511,54.708506,10.705701,10.166766,2017,Oct
201711,132.472675,54.773322,10.915275,10.17973,2017,Nov
201712,139.629306,55.972144,9.880866,10.982899,2017,Dec
201801,144.361563,53.959261,10.349118,11.409692,2018,Jan
201802,130.318768,51.726775,9.497957,11.196877,2018,Feb
201803,151.756366,57.273898,11.348007,12.138287,2018,Mar
201804,136.820188,55.267402,10.417781,12.089414,2018,Apr
201805,144.394391,57.940885,10.458214,11.782052,2018,May
201806,138.711433,56.697698,10.740618,12.221984,2018,Jun
201807,129.690814,54.623331,10.620016,11.029766,2018,Jul
201808,130.798547,53.007571,10.720356,10.906176,2018,Aug
201809,135.152774,50.843483,10.744759,10.859473,2018,Sep
201810,146.184907,55.327237,10.737491,12.026963,2018,Oct
201811,139.292567,53.428261,10.064853,11.062762,2018,Nov
201812,140.835607,58.618977,10.50206,12.241447,2018,Dec
201901,146.900652,57.683833,10.29027,12.65678,2019,Jan
201902,136.412014,54.116098,9.402133,12.085363,2019,Feb
201903,156.318149,59.925305,10.567394,14.040741,2019,Mar
201904,152.458778,57.087293,11.005443,12.360464,2019,Apr
201905,156.11682,59.501697,10.389019,12.106982,2019,May
201906,145.957959,55.306934,11.198994,11.988294,2019,Jun
201907,137.349893,56.846009,11.207492,11.876389,2019,Jul
201908,121.381565,54.678288,11.204924,10.349981,2019,Aug
201909,116.115653,51.065701,10.910195,10.642885,2019,Sep
201910,120.454969,54.650273,11.115768,11.103648,2019,Oct
201911,130.715165,57.928455,10.474449,11.543216,2019,Nov
201912,141.758449,59.093789,10.909913,12.909394,2019,Dec
202001,149.059202,58.23123,11.013883,13.30615,2020,Jan
202002,147.811941,55.999885,11.915581,13.025115,2020,Feb
202003,134.286177,50.25345,10.948717,10.519959,2020,Mar
202004,95.429037,30.664244,7.744364,1.824822,2020,Apr
202005,110.531688,48.585672,10.216028,9.513234,2020,May
202006,114.615272,50.068915,10.696772,11.172741,2020,Jun
202007,124.034652,49.332742,11.178343,10.277921,2020,Jul
202008,122.363553,45.629661,10.900863,8.846888,2020,Aug
202009,130.0347,47.390615,10.407856,10.276649,2020,Sep
202010,143.426181,55.025761,11.974462,11.457591,2020,Oct
202011,138.040711,59.859569,10.349893,10.70562,2020,Nov
202012,152.165781,56.493433,10.647268,11.981512,2020,Dec
202101,162.957766,54.649427,10.673561,12.53129,2021,Jan
202102,136.416841,51.131822,9.869971,13.045885,2021,Feb
202103,163.127242,57.251146,11.127412,14.793984,2021,Mar
202104,158.975464,50.557888,11.357946,12.893711,2021,Apr
202105,143.285438,45.640914,10.764195,10.626354,2021,May
202106,142.489118,49.2949,11.358311,12.011184,2021,Jun
202107,145.567217,51.827792,11.201143,12.506281,2021,Jul
202108,143.064941,48.269678,12.024201,12.061202,2021,Aug
202109,137.166984,49.013313,11.347947,11.439788,2021,Sep
202110,155.063835,54.611453,11.457697,13.125152,2021,Oct
202111,136.983378,52.654851,10.882869,10.316918,2021,Nov
202112,142.198321,58.581436,11.12661,13.681712,2021,Dec
202201,146.042399,55.193954,10.085834,14.301006,2022,Jan
202202,140.840848,53.762845,9.417322,13.597782,2022,Feb
202203,172.972329,59.802444,11.229961,16.119894,2022,Mar
202204,161.402585,57.324303,9.972142,13.854497,2022,Apr
202205,165.5797,57.31539,11.895619,13.408624,2022,May
202206,172.518114,57.853115,10.30902,14.381438,2022,Jun
202207,148.835648,56.374859,10.942355,12.597945,2022,Jul
202208,146.65227,55.417064,10.012201,12.322315,2022,Aug
202209,143.68043,53.385793,9.616836,12.865469,2022,Sep
202210,140.10531,57.77808,9.90174,12.581732,2022,Oct
202211,154.185414,58.784596,10.283793,13.319449,2022,Nov
202212,163.039113,61.02128,10.341884,14.981341,2022,Dec
202301,159.374518,57.899523,9.93021,14.973234,2023,Jan
202302,156.44975,57.393235,9.120032,14.608428,2023,Feb
202303,167.858893,64.839939,11.193573,16.083863,2023,Mar
202304,170.805729,57.980231,10.691805,15.565029,2023,Apr
202305,188.560205,64.206794,11.71733,15.548816,2023,May
202306,174.988019,60.689923,10.753439,15.808233,2023,Jun
202307,161.73336,57.264002,11.137202,13.465372,2023,Jul
202308,166.391066,59.221714,11.985111,14.754351,2023,Aug
202309,159.757019,56.950025,11.406806,13.473478,2023,Sep
202310,184.259272,60.381483,11.821324,14.713817,2023,Oct
202311,168.686562,58.372556,11.095692,12.68712,2023,Nov
202312,172.602555,62.983618,11.567068,15.556922,2023,Dec
202401,176.616964,61.685457,12.138228,15.581243,2024,Jan
202402,170.540461,62.155785,11.11737,15.751485,2024,Feb
202403,181.033268,66.16562,11.507255,17.786289,2024,Mar
202404,185.655522,62.340939,11.096401,15.58935,2024,Apr
202405,195.436661,64.673914,13.461116,15.451534,2024,May
202406,183.955723,61.604708,13.119453,16.09197,2024,Jun
202407,173.362436,64.097939,13.760663,14.154448,2024,Jul
202408,162.692257,57.977874,12.410362,14.381438,2024,Aug
202409,161.277388,54.777527,11.71729,14.494933,2024,Sep
202410,174.989695,63.198675,13.699769,15.175903,2024,Oct
202411,169.031089,64.352717,11.556382,14.349011,2024,Nov
202412,171.224428,64.394738,11.983198,16.278426,2024,Dec
202501,185.34334,63.550084,12.490268,17.85925,2025,Jan
